STATEMENT [I use an AI-powered calculator.],STATEMENT [I think I can effectively do my math tasks with the help of an AI-powered calculator.],STATEMENT [I am confident with my answers when I use an AI-powered calculator.],STATEMENT [I think AI-powered calculators have a negative impact on my learning capability.],STATEMENT [I think AI-powered calculators have a positive impact on my learning capability.],STATEMENT [I think I’m cheating when I use an AI-powered calculator.],STATEMENT [I choose not to study and rely only on AI-powered calculators.]
3,5,5,3,5,3,1
2,3,2,3,3,4,1
4,4,4,4,3,3,2
3,5,4,3,3,1,1
3,3,3,3,3,3,3
2,2,1,3,3,2,1
4,3,3,2,4,2,1
3,5,5,3,5,3,2
3,4,3,3,3,2,1
2,4,3,2,3,2,1
3,4,2,3,3,4,3
5,5,3,3,3,3,1
2,3,2,1,4,3,1
2,2,3,3,4,3,1
5,5,4,2,4,2,1
3,3,3,3,2,4,2
3,4,4,3,3,3,1
5,5,3,4,3,5,3
2,3,2,5,5,5,1
5,3,3,2,3,4,3
2,3,3,3,3,4,1
3,3,3,1,4,2,1
2,3,3,3,3,3,1
3,4,3,3,3,3,1
2,3,4,3,3,1,1
2,4,4,4,4,5,4
3,3,4,3,4,3,3
3,3,4,3,3,3,1
3,3,4,3,4,4,2
5,5,5,2,4,3,1
4,4,4,5,3,5,2
5,5,5,1,5,1,1
2,3,3,2,4,2,1
4,4,3,5,5,4,2
2,3,3,4,2,5,2
3,5,4,3,4,4,2
2,3,3,3,3,4,1
3,3,4,4,4,4,3
3,3,4,2,5,2,1
2,3,3,3,3,2,1
2,3,3,2,4,3,1
2,3,3,3,3,3,3
3,3,3,3,3,3,3
3,4,5,1,5,3,1
4,4,5,3,4,4,1
2,3,5,3,5,4,1
1,2,1,5,1,5,3
2,3,2,3,3,2,3
3,4,4,4,2,3,1
4,5,5,3,3,3,2
3,3,4,2,4,1,1
3,3,4,1,5,1,1
3,3,2,4,3,4,1
5,3,4,3,5,3,3
4,5,5,2,4,4,1
3,5,5,4,4,3,1
4,5,5,4,4,5,2
5,5,5,5,5,5,5
2,3,3,3,3,4,4
3,3,4,3,3,3,4
4,4,3,4,4,2,2
3,4,3,3,4,3,2
2,2,2,2,2,2,2
2,5,5,5,4,5,1
1,1,1,1,1,1,1
3,4,4,3,4,3,1
4,5,5,3,4,2,2
3,3,3,5,2,3,2
3,3,3,4,3,5,2
4,4,4,3,2,2,1
2,3,3,2,4,3,1
3,3,3,3,3,3,1
4,5,5,3,5,3,2
2,3,4,3,4,5,1
5,5,5,4,4,4,1
2,2,3,5,3,3,1
2,5,3,2,4,1,1
3,4,2,3,4,3,1
3,4,4,3,4,2,1
4,4,4,4,5,2,1
4,5,3,3,5,3,3
3,3,3,4,3,4,1
2,3,3,4,3,5,1
2,3,3,3,3,4,3
3,3,3,5,1,4,3
3,4,2,4,3,3,1
3,4,2,3,4,3,3
3,4,3,4,5,2,1
3,3,4,2,3,3,1
2,3,2,2,4,3,1
4,3,5,3,5,4,1
3,3,3,3,3,3,3
3,5,4,3,5,4,3
4,4,4,2,4,2,1
5,5,5,5,5,5,5
2,3,4,3,3,3,1
4,4,4,3,4,2,4
4,4,4,3,4,4,3
4,5,3,4,4,4,4
1,1,3,4,3,5,3
3,4,3,3,3,2,1
3,3,3,2,3,2,2
4,5,5,2,5,3,3
2,3,3,4,3,1,2
5,4,4,3,4,1,3
